epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,839.174,0.7963,1.33656,1.13239,0.24515,0.94399,0.32914,0.23299,0.83459,1.53913,1.17441,0.000253086,0.000253086,0.000253086
80,849.582,0.79133,1.33475,1.13766,0.2445,0.92312,0.31881,0.22724,0.82107,1.5523,1.17036,0.000242087,0.000242087,0.000242087
81,859.999,0.77304,1.34041,1.12068,0.24393,0.96359,0.32625,0.23089,0.81177,1.51331,1.15202,0.000231088,0.000231088,0.000231088
82,870.413,0.7743,1.32928,1.12364,0.24274,0.9287,0.3199,0.22619,0.82687,1.5122,1.16941,0.000220089,0.000220089,0.000220089
83,880.744,0.78972,1.34708,1.12347,0.24151,0.91984,0.32252,0.23305,0.80593,1.52289,1.15175,0.00020909,0.00020909,0.00020909
84,891.05,0.75333,1.33774,1.10207,0.24588,0.90918,0.33128,0.23538,0.8183,1.54637,1.14506,0.000198091,0.000198091,0.000198091
85,901.479,0.75854,1.30229,1.13133,0.25161,0.943,0.35248,0.24684,0.81195,1.50089,1.14706,0.000187092,0.000187092,0.000187092
86,911.784,0.77772,1.3793,1.13004,0.24696,0.94418,0.32936,0.23293,0.80243,1.46918,1.14322,0.000176094,0.000176094,0.000176094
87,922.096,0.73993,1.33648,1.10178,0.24692,0.94459,0.34146,0.24772,0.80167,1.51531,1.14112,0.000165095,0.000165095,0.000165095
88,932.441,0.78386,1.33643,1.13661,0.24979,0.93756,0.33665,0.23972,0.79288,1.50896,1.13951,0.000154096,0.000154096,0.000154096
89,942.7,0.74945,1.31245,1.12694,0.24754,0.9397,0.33164,0.2359,0.79534,1.51188,1.13445,0.000143097,0.000143097,0.000143097
90,953.054,0.75059,1.33277,1.12154,0.24813,0.94614,0.32779,0.23486,0.79285,1.52763,1.13473,0.000132098,0.000132098,0.000132098
91,964.515,0.73375,1.28646,1.1132,0.24837,0.93098,0.33335,0.23495,0.80274,1.54037,1.1486,0.000121099,0.000121099,0.000121099
92,974.849,0.7376,1.28061,1.13581,0.24426,0.92824,0.33412,0.23621,0.80477,1.50948,1.14216,0.0001101,0.0001101,0.0001101
93,985.172,0.718,1.27093,1.12983,0.24714,0.93642,0.33378,0.23693,0.80684,1.52487,1.1412,9.91012e-05,9.91012e-05,9.91012e-05
94,995.472,0.71767,1.28125,1.11477,0.24799,0.92984,0.33985,0.23898,0.8252,1.54255,1.14628,8.81023e-05,8.81023e-05,8.81023e-05
95,1005.97,0.71584,1.26238,1.10219,0.24896,0.93994,0.33024,0.23047,0.82391,1.51881,1.14817,7.71034e-05,7.71034e-05,7.71034e-05
96,1016.33,0.71934,1.27567,1.11928,0.24769,0.95387,0.33294,0.23425,0.81442,1.52044,1.14299,6.61045e-05,6.61045e-05,6.61045e-05
97,1026.55,0.71753,1.26769,1.0993,0.24554,0.94843,0.33353,0.23384,0.8093,1.51752,1.14204,5.51056e-05,5.51056e-05,5.51056e-05
98,1036.9,0.71475,1.26597,1.10452,0.24267,0.93213,0.33053,0.23309,0.79533,1.51825,1.13668,4.41067e-05,4.41067e-05,4.41067e-05
99,1047.22,0.6925,1.26064,1.0896,0.2473,0.95984,0.33681,0.23638,0.79277,1.52424,1.13492,3.31078e-05,3.31078e-05,3.31078e-05
100,1057.64,0.70001,1.26279,1.09364,0.24528,0.95387,0.33327,0.2348,0.79067,1.52248,1.13495,2.21089e-05,2.21089e-05,2.21089e-05
