epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1126.11,0.89527,1.40056,1.19873,0.22956,0.95852,0.29476,0.21316,0.84372,1.533,1.19068,0.000462065,0.000462065,0.000462065
61,1139.71,0.85734,1.40229,1.18161,0.24669,0.95191,0.28025,0.21079,0.87087,1.57078,1.20701,0.000451066,0.000451066,0.000451066
62,1153.31,0.87272,1.39182,1.19104,0.23825,0.91684,0.30931,0.23302,0.84217,1.51041,1.18198,0.000440067,0.000440067,0.000440067
63,1167.03,0.88754,1.40926,1.18626,0.23853,0.93135,0.31082,0.22896,0.87773,1.51862,1.19956,0.000429068,0.000429068,0.000429068
64,1180.74,0.86178,1.40706,1.19087,0.23439,0.87868,0.32511,0.23979,0.8636,1.48794,1.1872,0.000418069,0.000418069,0.000418069
65,1194.35,0.86753,1.39865,1.19042,0.23561,0.86122,0.34235,0.24554,0.84655,1.54911,1.18363,0.00040707,0.00040707,0.00040707
66,1208.03,0.84468,1.39069,1.17409,0.2415,0.86957,0.31799,0.23227,0.86322,1.53441,1.19332,0.000396071,0.000396071,0.000396071
67,1221.85,0.84556,1.37062,1.17035,0.2377,0.96357,0.32159,0.22668,0.87165,1.46117,1.1889,0.000385073,0.000385073,0.000385073
68,1235.54,0.90414,1.41741,1.21405,0.23897,0.96396,0.31542,0.22672,0.85965,1.48145,1.1848,0.000374074,0.000374074,0.000374074
69,1249.3,0.8514,1.3807,1.16729,0.23426,0.87096,0.32229,0.23435,0.88291,1.49645,1.20553,0.000363075,0.000363075,0.000363075
70,1263.17,0.87231,1.4303,1.19483,0.2394,0.86681,0.33516,0.23825,0.83803,1.51139,1.17525,0.000352076,0.000352076,0.000352076
71,1276.89,0.8248,1.3671,1.15562,0.24349,0.92269,0.32385,0.23972,0.8553,1.49062,1.19164,0.000341077,0.000341077,0.000341077
72,1290.67,0.8403,1.41801,1.18788,0.24827,0.98147,0.32313,0.23119,0.85391,1.45699,1.19272,0.000330078,0.000330078,0.000330078
73,1304.57,0.85394,1.37031,1.18512,0.24628,0.84404,0.33281,0.23588,0.86406,1.48589,1.20439,0.000319079,0.000319079,0.000319079
74,1318.47,0.83111,1.37936,1.16388,0.2459,0.95694,0.33495,0.23732,0.8379,1.49936,1.18323,0.00030808,0.00030808,0.00030808
75,1332.3,0.83856,1.36447,1.17297,0.24712,0.97856,0.32926,0.23597,0.83502,1.49067,1.17123,0.000297081,0.000297081,0.000297081
76,1346.21,0.83961,1.37566,1.17549,0.23907,0.94749,0.32235,0.23442,0.82961,1.51287,1.17119,0.000286083,0.000286083,0.000286083
77,1360.13,0.8037,1.32748,1.14095,0.24686,0.974,0.32344,0.2371,0.83903,1.49558,1.18398,0.000275084,0.000275084,0.000275084
78,1374.06,0.805,1.34038,1.14607,0.24416,0.97054,0.32238,0.24112,0.84008,1.45813,1.17995,0.000264085,0.000264085,0.000264085
79,1387.99,0.82188,1.32943,1.15017,0.23788,0.96002,0.30086,0.22627,0.85303,1.5023,1.18652,0.000253086,0.000253086,0.000253086
80,1401.89,0.81817,1.33292,1.15384,0.24763,0.97364,0.32192,0.23531,0.85082,1.51234,1.1889,0.000242087,0.000242087,0.000242087
81,1415.77,0.80137,1.3481,1.14835,0.24482,0.96396,0.30088,0.22473,0.86457,1.49751,1.18634,0.000231088,0.000231088,0.000231088
82,1429.59,0.80066,1.33445,1.13723,0.24531,0.96012,0.31847,0.23087,0.84621,1.50304,1.17444,0.000220089,0.000220089,0.000220089
83,1443.47,0.81489,1.34527,1.15267,0.24436,0.96707,0.31023,0.23237,0.82586,1.48959,1.16061,0.00020909,0.00020909,0.00020909
84,1457.3,0.78468,1.3342,1.12649,0.24177,0.96012,0.33061,0.23811,0.81111,1.47396,1.15384,0.000198091,0.000198091,0.000198091
85,1471.16,0.77441,1.30481,1.13262,0.24541,0.96012,0.31312,0.22288,0.85054,1.48747,1.17147,0.000187092,0.000187092,0.000187092
86,1484.94,0.80347,1.37119,1.14611,0.24987,0.94661,0.31627,0.23282,0.82507,1.44953,1.15717,0.000176094,0.000176094,0.000176094
87,1498.85,0.76325,1.33026,1.1241,0.24758,0.96508,0.33711,0.24387,0.83259,1.50791,1.16686,0.000165095,0.000165095,0.000165095
88,1512.73,0.82007,1.345,1.16873,0.24362,0.93098,0.32644,0.23339,0.8125,1.46258,1.16132,0.000154096,0.000154096,0.000154096
89,1526.58,0.78944,1.32077,1.15007,0.2494,0.95816,0.32028,0.23095,0.82649,1.49355,1.16051,0.000143097,0.000143097,0.000143097
90,1540.39,0.76831,1.33044,1.1342,0.24996,0.9446,0.32774,0.24005,0.81988,1.48035,1.16302,0.000132098,0.000132098,0.000132098
91,1555.42,0.76185,1.28472,1.13192,0.25106,0.94391,0.346,0.24955,0.81818,1.47395,1.16811,0.000121099,0.000121099,0.000121099
92,1569.19,0.75241,1.28126,1.14644,0.24983,0.94729,0.34255,0.2461,0.80605,1.45408,1.15972,0.0001101,0.0001101,0.0001101
93,1582.93,0.74952,1.27262,1.1437,0.25252,0.94071,0.33802,0.24711,0.79918,1.46783,1.15344,9.91012e-05,9.91012e-05,9.91012e-05
94,1596.68,0.75888,1.27373,1.14537,0.24688,0.92692,0.33422,0.24714,0.80093,1.4909,1.15655,8.81023e-05,8.81023e-05,8.81023e-05
95,1610.62,0.73964,1.26681,1.12488,0.24548,0.91868,0.33427,0.24762,0.81108,1.47011,1.15695,7.71034e-05,7.71034e-05,7.71034e-05
96,1624.52,0.72951,1.26176,1.13484,0.24738,0.95237,0.32661,0.24235,0.79843,1.47249,1.15497,6.61045e-05,6.61045e-05,6.61045e-05
97,1638.41,0.74241,1.27231,1.12362,0.24902,0.95701,0.32931,0.24391,0.81866,1.47329,1.16145,5.51056e-05,5.51056e-05,5.51056e-05
98,1652.29,0.73806,1.25156,1.12595,0.24674,0.95158,0.32261,0.24224,0.81053,1.47788,1.15924,4.41067e-05,4.41067e-05,4.41067e-05
99,1666.23,0.72776,1.2529,1.10375,0.24909,0.95701,0.32233,0.24024,0.8149,1.4814,1.15827,3.31078e-05,3.31078e-05,3.31078e-05
100,1680.15,0.72438,1.25393,1.11407,0.24956,0.95001,0.32478,0.24107,0.81472,1.47597,1.16005,2.21089e-05,2.21089e-05,2.21089e-05
